Time,Cluster_ID
1.26,2
1.31,3
1.33,3
1.35,4
2.2,3
2.16,2
2.34,2
2.42,2
3.4,3
3.52,2
4.13,2
4.3,2
4.56,2
5.4,3
5.45,1
6,2
6.8,2
6.19,2
6.41,2
6.41,1
6.5,1
6.52,3
7.3,1
7.8,2
7.1,1
7.18,2
7.19,2
7.21,2
7.26,3
7.45,4
8.1,2
8.15,2
8.16,2
8.17,4
8.37,2
8.38,2
8.41,3
8.48,2
9.6,2
9.7,3
9.12,3
9.13,4
9.15,4
9.17,3
9.18,2
9.24,3
9.3,3
9.33,3
9.39,3
9.43,3
9.47,3
9.47,4
9.47,2
9.53,3
9.55,2
10,2
10,2
10.1,2
10.3,3
10.4,1
10.5,4
10.6,3
10.8,4
10.13,1
10.17,2
10.19,1
10.29,3
10.4,3
10.4,3
10.4,3
10.43,3
10.45,4
10.47,1
10.47,2
10.5,2
10.53,2
10.55,3
10.59,3
11.6,4
11.8,2
11.8,2
11.1,3
11.11,3
11.19,3
11.22,2
11.23,2
11.26,2
11.27,2
11.27,3
11.29,2
11.29,2
11.3,2
11.32,2
11.34,2
11.36,3
11.36,2
11.44,3
11.49,2
11.5,3
11.52,2
11.56,1
11.58,2
12.3,4
12.4,2
12.7,1
12.8,2
12.9,2
12.17,2
12.18,2
12.18,4
12.18,3
12.21,2
12.24,1
12.25,2
12.27,2
12.29,2
12.32,2
12.34,2
12.35,4
12.38,3
12.38,2
12.39,2
12.41,2
12.42,3
12.42,3
12.42,3
12.43,2
12.44,2
12.44,2
12.47,2
12.5,1
12.53,2
12.56,3
12.56,3
12.58,4
13.1,1
13.7,6
13.11,2
13.11,2
13.12,1
13.12,3
13.13,2
13.15,2
13.19,3
13.2,2
13.21,2
13.23,3
13.23,3
13.3,3
13.32,2
13.34,1
13.34,8
13.35,1
13.35,3
13.4,1
13.4,2
13.41,1
13.42,1
13.42,1
13.44,2
13.45,2
13.49,4
13.54,4
13.57,2
13.57,3
13.57,2
13.58,2
14.4,2
14.7,4
14.8,4
14.8,3
14.9,2
14.12,2
14.15,2
14.16,1
14.16,2
14.17,2
14.19,2
14.21,2
14.21,3
14.22,4
14.23,2
14.28,2
14.29,3
14.31,2
14.34,2
14.34,7
14.34,2
14.43,3
14.45,1
14.48,3
14.55,2
15.8,2
15.1,2
15.11,2
15.13,3
15.14,2
15.14,1
15.17,1
15.27,4
15.27,3
15.29,4
15.3,2
15.31,2
15.34,3
15.34,1
15.36,1
15.36,3
15.37,3
15.38,6
15.39,3
15.41,2
15.44,1
15.51,3
15.53,1
15.54,1
15.56,6
15.56,2
15.59,1
16,2
16,2
16.7,2
16.1,2
16.12,7
16.17,7
16.2,2
16.22,2
16.22,7
16.26,1
16.28,3
16.29,1
16.35,3
16.36,3
16.38,7
16.39,2
16.45,2
16.46,2
16.48,2
16.5,2
16.5,2
16.58,2
17,2
17.9,2
17.12,2
17.12,3
17.16,2
17.17,2
17.19,2
17.19,4
17.23,2
17.24,2
17.26,2
17.29,3
17.34,4
17.41,2
17.41,3
17.41,3
17.43,2
17.43,3
17.47,2
17.52,2
17.59,3
18,3
18.3,3
18.13,2
18.13,2
18.18,3
18.2,2
18.22,3
18.25,1
18.26,2
18.29,3
18.3,4
18.32,4
18.34,3
18.41,2
18.42,2
18.43,3
18.44,2
18.45,2
18.46,3
18.47,2
18.49,4
18.52,3
18.55,2
19.1,2
19.1,2
19.22,1
19.22,3
19.22,4
19.25,5
19.26,3
19.34,2
19.39,2
19.39,1
19.41,3
19.49,3
19.52,3
19.53,3
19.54,2
19.54,2
20,4
20.19,6
20.22,2
20.28,2
20.34,3
20.35,4
20.43,2
20.58,2
20.59,2
21.4,2
21.11,3
21.18,3
21.21,2
21.23,2
21.28,1
21.32,2
21.33,2
21.36,3
21.39,3
21.45,2
21.46,3
22.21,3
22.24,3
22.43,3
22.54,1
22.57,4
23.31,4
23.43,2
23.54,4
0.8,3
0.9,4
0.15,3
0.18,2
0.18,3
0.19,2
0.28,2
0.57,2
1,3
1.8,3
1.46,1
2.1,4
2.18,3
2.22,2
2.41,2
2.43,2
2.43,3
2.5,3
3,2
3.5,2
3.34,2
3.37,2
3.4,2
4.19,2
4.34,3
4.37,1
4.43,4
5.9,3
5.17,4
5.29,3
5.43,3
5.47,2
5.48,3
6.12,3
6.36,3
7.15,1
7.16,4
7.21,4
7.26,2
7.28,2
7.28,3
7.33,3
7.34,1
7.47,4
7.56,4
8.5,2
8.6,4
8.7,3
8.12,2
8.16,2
8.19,2
8.28,2
8.3,1
8.33,4
8.34,2
8.35,2
8.39,2
8.4,2
8.42,3
8.44,3
8.47,2
8.47,2
8.48,6
8.48,3
8.52,3
8.54,3
8.59,3
8.59,3
8.59,2
9.3,3
9.5,2
9.6,2
9.1,2
9.11,2
9.11,3
9.11,2
9.14,2
9.17,4
9.18,3
9.19,4
9.19,2
9.23,2
9.23,3
9.23,2
9.23,2
9.29,2
9.29,3
9.3,2
9.32,2
9.34,2
9.36,2
9.37,2
9.38,2
9.38,2
9.38,2
9.4,1
9.41,2
9.42,3
9.42,4
9.43,2
9.44,4
9.45,2
9.48,2
9.49,4
9.49,1
9.49,3
9.51,1
9.52,2
9.52,4
9.54,3
9.56,2
9.56,2
9.58,4
9.59,4
10.4,3
10.5,3
10.7,4
10.8,2
10.8,2
10.9,2
10.9,1
10.1,1
10.11,1
10.12,2
10.13,4
10.14,2
10.14,2
10.17,4
10.17,2
10.19,3
10.19,3
10.2,2
10.2,2
10.21,4
10.22,1
10.22,2
10.22,4
10.24,3
10.24,2
10.27,2
10.27,2
10.28,2
10.29,2
10.3,4
10.3,4
10.33,2
10.35,2
10.37,4
10.37,3
10.38,4
10.41,2
10.41,3
10.41,1
10.42,2
10.43,2
10.45,2
10.46,1
10.46,4
10.49,2
10.49,2
10.5,2
10.5,2
10.56,2
10.56,3
10.57,2
10.57,3
11,1
11,1
11,2
11.1,7
11.1,3
11.2,2
11.4,2
11.4,3
11.4,4
11.7,3
11.8,2
11.8,2
11.9,2
11.13,1
11.15,3
11.15,2
11.15,4
11.17,3
11.17,1
11.18,2
11.2,2
11.2,3
11.2,3
11.2,4
11.23,3
11.24,4
11.24,2
11.25,2
11.25,3
11.26,2
11.29,2
11.32,3
11.34,2
11.35,2
11.36,3
11.36,2
11.38,2
11.39,2
11.4,2
11.4,4
11.41,3
11.48,2
11.49,2
11.49,3
11.5,2
11.51,2
11.54,2
11.54,2
11.55,6
11.55,2
11.55,1
11.55,4
11.55,2
11.56,3
11.56,1
11.56,2
11.56,6
11.56,2
11.58,2
11.58,2
11.58,3
11.59,3
12,2
12.1,6
12.2,3
12.4,3
12.4,1
12.5,1
12.9,2
12.9,2
12.1,4
12.1,3
12.11,3
12.11,3
12.12,2
12.13,2
12.13,3
12.14,3
12.14,2
12.14,4
12.15,1
12.15,4
12.16,1
12.16,2
12.17,3
12.19,4
12.19,8
12.19,2
12.2,3
12.2,2
12.21,2
12.21,5
12.21,2
12.21,2
12.22,2
12.22,2
12.22,2
12.24,1
12.27,1
12.27,2
12.28,3
12.29,3
12.3,2
12.3,4
12.3,4
12.31,2
12.32,2
12.32,2
12.33,1
12.33,2
12.34,3
12.34,1
12.36,2
12.36,2
12.37,4
12.38,4
12.39,2
12.4,3
12.4,3
12.4,3
12.4,3
12.41,2
12.42,3
12.42,6
12.43,2
12.44,2
12.47,2
12.48,3
12.48,2
12.5,2
12.51,3
12.52,3
12.52,1
12.54,4
12.54,2
12.56,2
12.57,1
12.58,3
13,2
13.1,3
13.1,2
13.2,2
13.3,4
13.3,2
13.4,4
13.5,3
13.5,3
13.6,2
13.7,1
13.8,2
13.9,4
13.9,2
13.1,6
13.1,3
13.1,3
13.1,2
13.1,2
13.1,3
13.1,2
13.11,3
13.11,2
13.12,2
13.13,3
13.13,2
13.14,1
13.14,2
13.15,2
13.16,3
13.17,3
13.17,4
13.18,1
13.2,1
13.21,2
13.22,4
13.22,3
13.24,3
13.25,3
13.25,3
13.28,1
13.29,2
13.31,2
13.31,3
13.33,3
13.37,2
13.39,3
13.4,3
13.43,3
13.47,3
13.47,2
13.48,1
13.51,3
13.52,2
13.55,3
13.56,2
14.3,3
14.4,4
14.9,2
14.1,3
14.1,3
14.11,4
14.12,1
14.16,1
14.16,3
14.17,3
14.17,4
14.19,3
14.19,2
14.22,7
14.22,3
14.23,2
14.24,2
14.25,2
14.25,1
14.26,2
14.28,2
14.28,4
14.29,2
14.29,3
14.32,2
14.32,1
14.36,8
14.37,3
14.38,2
14.38,1
14.39,3
14.4,3
14.43,1
14.44,3
14.46,2
14.46,1
14.46,2
14.49,4
14.49,2
14.5,3
14.51,2
14.53,3
14.53,1
14.53,1
14.54,4
14.54,2
14.54,4
14.56,4
14.58,2
14.59,3
15,2
15.2,4
15.3,3
15.4,3
15.5,2
15.5,4
15.6,2
15.1,1
15.12,2
15.12,3
15.13,3
15.13,2
15.17,2
15.18,7
15.19,3
15.19,3
15.2,4
15.22,2
15.22,2
15.26,3
15.27,2
15.28,2
15.28,2
15.29,1
15.3,4
15.3,3
15.31,3
15.33,2
15.34,2
15.38,2
15.38,3
15.38,2
15.39,2
15.39,4
15.39,2
15.4,2
15.43,3
15.43,2
15.44,1
15.45,4
15.45,1
15.45,2
15.45,1
15.46,3
15.48,2
15.49,2
15.53,2
15.54,3
15.55,3
15.56,4
15.57,4
15.57,4
16.1,7
16.2,4
16.3,3
16.6,1
16.7,3
16.11,3
16.12,2
16.12,4
16.12,2
16.13,2
16.13,2
16.16,2
16.17,2
16.18,3
16.2,1
16.21,2
16.21,2
16.22,3
16.22,3
16.23,2
16.23,2
16.23,4
16.24,3
16.25,1
16.25,2
16.26,3
16.27,2
16.27,2
16.27,4
16.27,3
16.28,1
16.3,2
16.31,2
16.31,2
16.31,2
16.31,2
16.32,3
16.34,3
16.35,1
16.36,1
16.36,3
16.36,1
16.37,2
16.38,1
16.39,4
16.39,2
16.39,2
16.4,2
16.4,3
16.42,2
16.43,2
16.44,2
16.44,3
16.45,2
16.46,3
16.48,3
16.48,2
16.48,2
16.49,2
16.5,7
16.5,3
16.52,3
16.53,2
16.55,3
16.56,2
16.57,2
17,3
17,2
17,3
17.1,3
17.1,2
17.1,7
17.1,4
17.2,2
17.3,3
17.3,2
17.4,2
17.4,2
17.5,1
17.5,3
17.6,3
17.7,2
17.7,5
17.7,2
17.8,2
17.8,2
17.8,4
17.9,3
17.9,3
17.9,7
17.1,3
17.12,2
17.15,3
17.18,3
17.19,2
17.2,3
17.2,6
17.2,2
17.22,4
17.23,2
17.24,2
