Record_Number,RecordWritten,DNIS,Cluster_ID,Cluster_Type,RepeatCall,Repeat_UID,Source
3782448,10/14/2018 1:26,2236,2,Identification,TRUE,73793717-0eb3-44ad-97a0-3047d8e09152,CM2
3782458,10/14/2018 1:31,1750,3,Identification,TRUE,0bdaea8f-17f5-4e43-829e-6437d07fc21f,CM4
3782464,10/14/2018 1:33,1750,3,Identification,TRUE,a67265ad-f360-4dd3-b99f-82d80d41899a,OM3
3782465,10/14/2018 1:35,2796,4,Identification,TRUE,5200be64-8688-4448-9dcd-d5d34d094aa2,CM1
3782494,10/14/2018 2:02,1750,3,Identification,TRUE,a3838b1b-0a91-40e4-b05c-4f33270fc3c1,CM1
3782507,10/14/2018 2:16,2236,2,Identification,TRUE,b30a1358-bf2f-42d9-812e-c62aae35560c,OM3
3782523,10/14/2018 2:34,2236,2,Identification,TRUE,974e3bb1-33ad-4fba-a2b8-2c098c123be6,CM1
3782526,10/14/2018 2:42,2236,2,Identification,TRUE,6ba00633-1ba6-4e4b-9b6e-6066067160e8,OM3
3782560,10/14/2018 3:40,1750,3,Identification,TRUE,4c1bd8cb-6a18-4c6d-83ee-3df9c712d467,CM1
3782573,10/14/2018 3:52,2236,2,Identification,TRUE,bfaed530-fa7f-45e2-8dc2-fd15bc3b5ea5,OM2
3782580,10/14/2018 4:13,2236,2,Identification,TRUE,770ec082-b68d-4a9b-82ef-f054764ad191,CM3
3782590,10/14/2018 4:30,2236,2,Identification,TRUE,a4eb2a62-bae6-40f8-bfd7-902f5505927c,OM4
3782606,10/14/2018 4:56,2236,2,Identification,TRUE,bf6c6e40-f264-46aa-8af9-acfff34d234d,CM3
3782609,10/14/2018 5:04,1750,3,Identification,TRUE,89f876ee-104f-43d0-83ce-b6d5b07ded2c,CM1
3782623,10/14/2018 5:45,8767,1,Identification,TRUE,8f9d3d3e-63f8-4378-accb-6067de391825,CM3
3782627,10/14/2018 6:00,2236,2,Identification,TRUE,b5d12749-f153-4d01-90cc-a997d8c17fda,CM1
3782628,10/14/2018 6:08,2236,2,Identification,TRUE,f0c11868-4e9a-4075-a51b-cb066cbcb6a8,OM4
3782630,10/14/2018 6:19,2236,2,Identification,TRUE,af051d65-7c95-489c-a924-09dca97a1300,CM3
3782640,10/14/2018 6:41,2236,2,Identification,TRUE,74f849cc-2ef5-45d4-aa09-5e35b4003556,OM4
3782641,10/14/2018 6:41,8767,1,Identification,TRUE,b061e44a-9771-4788-9209-a1d22bebbfcc,OM2
3782645,10/14/2018 6:50,8767,1,Identification,TRUE,28189767-dfe1-4418-a690-716ef045b389,OM1
3782648,10/14/2018 6:52,1750,3,Identification,TRUE,b821a904-7690-4015-8945-99bb59e41d50,OM3
3782654,10/14/2018 7:03,8767,1,Identification,TRUE,6c25c17e-4cdc-4595-91dc-b25fc16f331a,OM1
3782662,10/14/2018 7:08,2236,2,Identification,TRUE,02d314df-008e-4235-910e-65deb4640485,OM3
3782663,10/14/2018 7:10,8767,1,Identification,TRUE,f37bb17a-ccf0-4efa-9e7a-6ec45f78106f,OM1
3782680,10/14/2018 7:18,2236,2,Identification,TRUE,1ab1170d-9c28-4c82-b186-8fbb334d3b6c,OM3
3782684,10/14/2018 7:19,2236,2,Identification,TRUE,63a5c50e-8d53-449f-8c7e-018e8b473dc9,OM3
3782685,10/14/2018 7:21,2236,2,Identification,TRUE,9602c4f7-2ee1-41ac-b49f-4ec057154ae1,CM3
3782688,10/14/2018 7:26,1750,3,Identification,TRUE,1b28f082-b97c-4e39-807b-359506020f9f,CM3
3782708,10/14/2018 7:45,2796,4,Identification,TRUE,ba92b908-6258-463e-a600-425a18ce62e9,CM3
3782723,10/14/2018 8:01,2236,2,Identification,TRUE,d898c261-b242-4ecd-8e09-a4e9ed392abc,CM1
3782741,10/14/2018 8:15,2236,2,Identification,TRUE,e92b1638-cb85-4caa-8e92-777e190195dd,CM2
3782744,10/14/2018 8:16,2236,2,Identification,TRUE,e2c2d2b6-a962-4cf4-a4f8-dba2ddc82914,CM1
